"","Sample_04","Sample_03","Sample_02","Sample_01"
"Taxon_001",0,0,0,0
"Taxon_002",0,0,0,0
"Taxon_003",37223.8235979893,34430.6247607403,46316.6768147733,59772.1161187069
"Taxon_004",0,0,0,0
"Taxon_005",0,63.2351706559325,0,0
"Taxon_006",32771.4538642083,24870.9325963431,37885.821398012,34290.8677433418
"Taxon_007",32898.112411144,38836.7530323764,39512.6064038915,41945.9211405919
"Taxon_008",9781.59559051061,5485.28226636888,5283.81520155485,9893.21566475449
"Taxon_009",0,0,0,0
"Taxon_010",38138.2495432977,25359.201947143,51498.6394470484,55761.5433691404
"Taxon_011",36870.527262322,31481.9950300183,64651.8554134922,68500.027959227
"Taxon_012",32513.9834749556,37319.4812111428,46702.2322261471,61697.4294493775
"Taxon_013",53649.3543179382,42214.5088772455,54573.7330433727,70702.7609013521
"Taxon_014",5394.2481179622,6510.93756171082,5832.00872671155,3772.09421044925
"Taxon_015",0,0,0,0
"Taxon_016",36233.4947153075,39564.4326845273,37820.250156562,55769.3383407304
"Taxon_017",51696.835450338,47446.2181898761,83924.6083861097,58249.8329409165
"Taxon_018",7.9550230210484,118.893890511542,0,13.2437759254772
"Taxon_019",0,0,0,0
"Taxon_020",2428.21130825625,5003.6391374073,975.657082793467,1886.96540298466
"Taxon_021",39736.4080279055,31888.9371877134,44406.175142404,49924.5127129694
"Taxon_022",39864.8521860457,33920.1203635947,45500.5973622041,45003.2561415378
"Taxon_023",30385.117283287,22896.2387735887,29004.3252094961,51455.2318661497
"Taxon_024",2688.83245669921,6301.83526546577,5868.52001758778,20696.7919296107
"Taxon_025",38900.6266409623,35238.1337505236,52889.7452757934,39725.9516217667
"Taxon_026",54318.7727209284,39298.2506601987,66240.4023230892,67311.8368994286
"Taxon_027",62.2382617284983,67.1157053063707,122.378257160047,115.130210912744
"Taxon_028",25862.7257257194,27428.8166319359,30576.1234595212,52700.5690764014
"Taxon_029",6493.85464119033,12372.9083696086,8052.65953830468,2795.47497368814
"Taxon_030",0,0,0,1.18747104935438
"Taxon_031",3125.95837494582,5313.56053979102,4848.11721435455,4749.01498011707
"Taxon_032",0,0,0,0
"Taxon_033",61483.0689997191,48810.5986576174,63235.8425860621,60615.3106888929
"Taxon_034",7.50028504297482,156.97378166094,10.2945677008959,52.786010367413
"Taxon_035",4.44696998508139,12.2852978527594,0,0
"Taxon_036",18447.4442373858,20940.328868813,23371.1619150989,17707.8684392783
"Taxon_037",20832.9739789512,24308.3567170338,19430.9523509725,25542.7082492974
"Taxon_038",4052.60785309807,8536.41991366546,5598.89963223096,3190.17860105343
"Taxon_039",6081.38325831708,12757.0615722702,7923.36344202483,3832.00298580927
"Taxon_040",2628.79429506371,5093.69340564203,2954.4246450942,2222.01254787874
"Taxon_041",1.00121628147255,26.4262114855006,17.1238206408115,273.583382680148
"Taxon_042",0,0,0,0
"Taxon_043",0,0,0,0
"Taxon_044",10610.3060223381,13435.8930855766,12698.5262311769,12315.9205848187
"Taxon_045",2215.95217716746,36.0950320596031,2138.08477854255,424.732913697437
"Taxon_046",2655.20020455941,4424.21113694035,3397.19180729029,1877.26167840129
"Taxon_047",32807.262747549,45458.6052962835,42864.8897979575,60781.4351731254
"Taxon_048",44305.0566889785,49402.5490665578,37119.1193233846,72274.5775479591
"Taxon_049",2340.03730742166,2615.61502969101,2057.82147045245,1507.99046264697
"Taxon_050",34842.6842714643,33245.7267305361,43243.4332086169,50930.1326023381
"Taxon_051",442.347287959354,556.599350715968,1688.64904948937,1794.86329671724
"Taxon_052",64721.3771926335,35994.2813739069,82419.5808017381,72368.6311686878
"Taxon_053",0,0,0,3.54074304241707
"Taxon_054",51493.1375761862,47694.0431811969,51444.6811089454,63568.0323100018
"Taxon_055",11.8154046543708,0,0,0
"Taxon_056",0,10.4986318822615,0,5.60489401986999
"Taxon_057",619.217705774345,1697.89741919413,989.494997910904,374.25296320761
"Taxon_058",0,0,0,0
"Taxon_059",280.569973941957,626.044912882084,138.742350892888,829.672069666524
"Taxon_060",369.866438424301,504.085462869429,237.519493249843,621.370197959118
"Taxon_061",338.988547451239,502.277004920921,345.648888557984,945.903215301563
"Taxon_062",5.2322550459765,107.767968344051,62.0418488380803,1148.35299715751
"Taxon_063",2397.04259860345,10401.338897893,3221.60822494878,2856.49469352524
"Taxon_064",36795.0016882256,39887.9071297904,46418.2853096687,35650.8906098272
